,Date,Employed_Total_Persons_thousands,Employed_Total_Males_thousands,Employed_Total_Females_thousands,Employed_Full_Time_Persons_thousands,Employed_Full_Time_Males_thousands,Employed_Full_Time_Females_thousands
475,Dec-2016,1292.2,707.1,585.1,878.2,579.5,298.7
476,Jan-2017,1309.0,711.7,597.4,877.8,581.5,296.3
477,Feb-2017,1304.5,716.7,587.8,889.5,590.2,299.3
478,Mar-2017,1303.4,718.3,585.1,899.5,593.0,306.4
479,Apr-2017,1313.5,720.8,592.7,903.2,594.6,308.6
480,May-2017,1319.0,716.9,602.1,903.1,589.8,313.3
481,Jun-2017,1326.4,724.3,602.1,910.7,594.2,316.5
482,Jul-2017,1324.5,720.1,604.4,910.1,594.5,315.6
483,Aug-2017,1318.8,712.8,606.0,905.8,590.9,314.9
484,Sep-2017,1328.2,723.6,604.6,908.5,597.3,311.3
485,Oct-2017,1319.7,718.9,600.8,891.2,588.3,302.9
486,Nov-2017,1327.7,718.2,609.5,900.5,587.1,313.4
487,Dec-2017,1340.1,723.2,616.9,905.3,593.6,311.7
488,Jan-2018,1334.7,715.6,619.1,894.3,582.6,311.7
489,Feb-2018,1331.5,718.3,613.2,896.7,586.5,310.2
490,Mar-2018,1331.6,717.3,614.3,887.2,583.5,303.7
491,Apr-2018,1339.6,720.1,619.5,889.4,591.6,297.7
492,May-2018,1340.2,723.9,616.3,907.6,598.8,308.8
493,Jun-2018,1341.9,720.7,621.1,900.2,590.2,310.0
494,Jul-2018,1336.9,723.2,613.7,912.3,600.3,312.1
495,Aug-2018,1338.0,722.9,615.1,915.9,597.7,318.2
496,Sep-2018,1344.9,729.2,615.8,923.4,601.4,321.9
497,Oct-2018,1345.6,732.2,613.4,932.7,608.3,324.4
498,Nov-2018,1346.1,729.7,616.4,936.1,614.1,322.0
499,Dec-2018,1335.1,723.4,611.7,920.4,604.8,315.6
500,Jan-2019,1336.8,726.9,609.9,923.1,603.9,319.2
501,Feb-2019,1340.1,724.0,616.1,918.2,601.2,317.0
502,Mar-2019,1341.3,720.4,620.9,925.1,593.2,331.9
503,Apr-2019,1349.4,726.7,622.6,934.3,603.8,330.5
504,May-2019,1348.3,728.9,619.4,925.7,601.2,324.5
505,Jun-2019,1365.6,738.1,627.5,925.6,606.7,319.0
506,Jul-2019,1358.3,728.1,630.2,925.8,604.2,321.5
507,Aug-2019,1359.7,733.4,626.3,917.6,604.6,312.9
508,Sep-2019,1358.7,727.2,631.5,922.3,602.6,319.7
509,Oct-2019,1361.8,733.5,628.3,924.0,600.4,323.7
510,Nov-2019,1364.1,734.7,629.4,924.6,599.2,325.4
511,Dec-2019,1359.3,733.0,626.3,919.4,597.7,321.7
512,Jan-2020,1371.4,734.6,636.8,920.7,600.4,320.4
513,Feb-2020,1385.1,745.2,639.8,927.2,601.4,325.7
514,Mar-2020,1376.1,743.7,632.4,927.1,604.3,322.8
515,Apr-2020,1311.1,710.2,600.9,902.7,586.5,316.2
516,May-2020,1282.5,697.5,584.9,901.3,585.7,315.6
517,Jun-2020,1304.9,700.0,604.8,888.1,574.9,313.3
518,Jul-2020,1319.5,706.5,613.1,897.0,582.6,314.4
519,Aug-2020,1348.9,726.3,622.6,901.9,590.2,311.7
520,Sep-2020,1354.4,724.4,630.0,899.9,595.7,304.2
521,Oct-2020,1366.2,727.4,638.8,908.1,603.2,305.0
522,Nov-2020,1378.6,738.0,640.5,918.3,608.7,309.7
523,Dec-2020,1376.9,731.5,645.4,922.0,608.3,313.7
524,Jan-2021,1368.8,730.8,638.0,913.0,596.3,316.7
525,Feb-2021,1372.6,733.6,639.0,917.7,604.9,312.8
526,Mar-2021,1406.1,751.6,654.5,925.9,615.0,310.9
527,Apr-2021,1392.4,743.2,649.2,925.6,612.1,313.5
528,May-2021,1395.0,740.6,654.4,916.7,600.3,316.4
529,Jun-2021,1406.9,749.8,657.1,941.3,614.1,327.3
530,Jul-2021,1409.9,750.8,659.1,947.8,615.2,332.6
531,Aug-2021,1425.4,753.6,671.8,953.0,622.6,330.4
532,Sep-2021,1428.2,760.4,667.8,960.7,621.0,339.7
533,Oct-2021,1426.1,763.7,662.4,967.0,626.4,340.6
534,Nov-2021,1448.6,770.4,678.2,974.3,626.8,347.5
535,Dec-2021,1449.0,774.7,674.4,980.8,633.4,347.3
536,Jan-2022,1459.9,776.9,683.0,983.5,634.6,348.9
537,Feb-2022,1462.2,773.5,688.6,990.6,636.5,354.1
538,Mar-2022,1467.0,776.0,691.0,993.4,634.0,359.4
539,Apr-2022,1469.0,778.5,690.5,1010.8,642.1,368.7
540,May-2022,1472.7,786.6,686.1,1015.2,651.0,364.3
541,Jun-2022,1465.3,783.4,682.0,1014.2,653.2,361.0
542,Jul-2022,1469.1,788.3,680.8,1017.4,656.4,361.0
543,Aug-2022,1470.7,787.8,682.9,1017.2,649.9,367.3
544,Sep-2022,1466.9,786.4,680.4,1017.6,650.2,367.4
545,Oct-2022,1455.4,779.0,676.4,1007.7,644.5,363.3
