Series ID,A3348645F,A3348708C,A3348771V,A3348834T,A3348897A,A3348960F,A3349023F,A3349086R,A3348582J,A3348648L,A3348711T,A3348774A,A3348837X,A3348900C,A3348963L,A3349026L,A3349089W,A3348585R,A3348651A,A3348714X,A3348777J,A3348840L,A3348903K,A3348966V,A3349029V,A3349092K,A3348588W
Nov-1997,3601.5,2519.3,1837.0,736.9,1100.4,245.2,100.9,199.7,10340.9,3500.3,2447.8,1808.1,708.6,1071.5,237.8,101.0,193.4,10068.6,3497.3,2433.0,1800.6,710.6,1075.4,232.5,101.2,191.9,10042.4
Dec-1997,4684.7,3278.7,2333.7,938.5,1407.3,303.9,115.0,256.3,13318.2,3518.9,2434.2,1812.2,710.1,1072.8,230.1,101.4,192.4,10072.2,3504.7,2431.2,1810.8,718.1,1079.1,230.8,101.6,192.5,10068.7
Jan-1998,3491.6,2379.7,1840.6,735.8,1100.5,220.7,89.8,183.9,10042.7,3533.0,2415.7,1821.8,745.7,1094.6,223.4,100.9,194.0,10129.1,3505.6,2427.0,1819.5,724.5,1082.5,228.6,102.1,192.7,10082.5
Feb-1998,3083.5,2118.9,1610.0,632.8,964.5,206.6,87.6,168.4,8872.4,3497.7,2413.3,1831.7,728.5,1081.3,228.4,103.4,192.9,10077.1,3501.7,2424.9,1827.5,729.4,1086.4,226.4,102.7,192.5,10091.6
Mar-1998,3315.2,2331.4,1707.8,687.2,1034.9,218.7,96.9,183.6,9575.7,3471.1,2437.8,1822.8,718.2,1091.6,225.2,103.7,191.1,10061.5,3495.5,2428.9,1835.6,732.2,1091.3,224.9,103.3,192.2,10103.9
Apr-1998,3345.4,2372.6,1758.2,715.9,1060.9,218.6,99.5,185.4,9756.6,3479.2,2444.1,1841.5,737.8,1097.6,222.9,104.6,191.5,10119.4,3489.6,2441.5,1845.5,733.4,1096.6,224.1,103.8,192.1,10126.6
May-1998,3457.8,2400.6,1820.8,722.6,1081.5,220.6,103.7,192.9,10000.6,3500.3,2457.9,1868.3,734.9,1094.3,224.1,104.3,192.6,10176.7,3487.6,2462.7,1858.4,733.7,1101.7,224.1,104.2,192.5,10164.9
Jun-1998,3263.0,2296.6,1774.6,688.8,1039.9,209.0,104.4,179.7,9556.1,3490.6,2459.3,1871.8,737.9,1110.9,224.2,104.0,191.3,10190.0,3492.1,2490.7,1873.9,734.2,1106.9,224.4,104.8,193.3,10220.3
Jul-1998,3476.1,2506.4,1886.7,728.1,1096.6,219.6,113.1,198.9,10225.4,3511.6,2539.3,1882.4,733.7,1119.7,225.7,103.8,197.2,10313.2,3497.5,2519.3,1888.4,734.7,1112.4,224.6,105.3,194.1,10276.3
Aug-1998,3304.9,2430.1,1841.1,692.2,1057.8,210.1,114.8,184.5,9835.4,3484.3,2557.9,1902.9,730.3,1117.1,224.5,107.8,193.7,10318.5,3502.6,2544.4,1900.4,735.6,1117.7,224.7,106.0,194.6,10326.1
Sep-1998,3397.4,2473.6,1895.0,709.9,1070.3,215.6,109.5,188.5,10059.8,3509.9,2580.0,1918.9,736.9,1114.2,225.6,105.5,196.6,10387.8,3509.2,2564.9,1910.3,736.5,1122.8,224.8,106.7,194.9,10369.9
Oct-1998,3617.3,2651.0,2010.3,768.2,1181.4,228.1,116.0,201.0,10773.4,3546.4,2584.2,1939.2,743.0,1129.4,225.4,109.9,196.0,10473.6,3518.5,2581.5,1920.8,738.6,1129.1,225.1,107.3,195.3,10416.3
Nov-1998,3603.4,2656.0,1932.2,756.4,1161.2,230.1,105.4,197.9,10642.7,3524.0,2587.8,1917.8,737.5,1143.4,225.4,106.6,192.5,10435.2,3532.7,2597.4,1935.1,741.9,1136.6,225.9,107.7,196.3,10473.6
Dec-1998,4670.5,3500.1,2483.7,995.3,1503.6,300.8,121.8,261.7,13837.5,3482.2,2582.3,1906.4,739.5,1135.9,222.9,106.5,196.2,10372.0,3552.9,2617.1,1952.7,744.9,1144.8,227.4,108.0,197.9,10545.7
Jan-1999,3574.8,2585.5,1995.6,733.5,1134.9,225.4,97.0,190.2,10537.1,3654.6,2657.6,2004.3,755.5,1153.1,231.3,110.0,202.1,10768.4,3579.4,2642.9,1972.2,746.3,1152.5,229.2,108.4,199.7,10630.7
Feb-1999,3163.1,2348.1,1753.4,649.4,1036.9,210.7,91.7,176.9,9430.1,3592.6,2678.7,1995.7,746.7,1161.0,233.0,108.6,202.0,10718.2,3606.8,2673.6,1990.4,745.4,1158.2,231.0,109.1,201.7,10716.0
Mar-1999,3499.5,2667.1,1949.6,738.1,1146.5,232.6,104.1,202.5,10540.0,3593.0,2708.6,2020.8,749.0,1178.2,233.7,109.8,207.0,10800.1,3629.5,2704.3,2003.9,743.0,1161.2,232.4,110.0,203.4,10787.6
Apr-1999,3528.9,2622.2,1904.6,707.6,1103.7,226.3,103.3,194.1,10390.7,3690.8,2740.9,2012.3,737.3,1144.8,233.2,109.0,201.8,10870.0,3646.2,2733.5,2011.5,741.0,1162.4,233.4,110.9,204.9,10843.9
May-1999,3605.1,2669.5,1914.2,711.7,1141.1,223.0,112.5,203.9,10581.0,3679.2,2762.7,1995.1,736.4,1172.0,232.2,114.6,205.8,10898.0,3658.3,2760.7,2013.3,741.3,1163.1,234.2,111.8,206.2,10888.9
Jun-1999,3422.2,2604.7,1931.0,689.1,1088.2,221.1,114.5,194.0,10264.8,3665.2,2773.2,2023.7,734.8,1159.2,233.5,112.4,205.8,10907.7,3669.2,2787.7,2012.6,745.1,1165.0,234.9,112.4,207.7,10934.5
Jul-1999,3583.1,2768.4,2005.7,752.6,1148.9,228.7,123.1,214.4,10824.9,3611.0,2802.5,1998.8,752.8,1164.2,235.9,113.1,211.8,10890.1,3684.5,2815.9,2013.9,752.1,1169.7,235.5,112.9,209.5,10993.9
Aug-1999,3521.7,2693.5,1954.0,726.8,1113.5,223.9,120.3,201.6,10555.3,3717.0,2842.5,2024.3,767.4,1179.6,237.7,112.7,212.3,11093.5,3703.7,2844.1,2019.5,760.6,1176.9,236.0,113.5,211.6,11066.0
Sep-1999,3661.6,2791.3,2019.2,748.7,1137.8,228.5,117.7,204.1,10908.9,3753.6,2888.4,2037.0,772.3,1180.2,238.0,113.4,211.9,11194.9,3720.3,2866.3,2027.8,768.0,1184.9,236.1,114.3,213.5,11131.3
Oct-1999,3780.5,2908.9,2060.5,784.4,1231.0,232.8,119.9,218.8,11336.8,3741.9,2870.8,2017.6,773.1,1199.7,233.0,114.8,215.7,11166.7,3732.9,2878.1,2036.5,772.8,1192.3,235.4,115.3,215.2,11178.5
Nov-1999,3848.4,2993.3,2098.3,810.3,1252.4,239.8,116.8,224.7,11584.0,3741.3,2897.2,2057.5,777.5,1207.6,232.9,117.1,217.5,11248.6,3737.5,2874.6,2044.7,774.1,1198.4,233.9,116.3,216.5,11197.0
Dec-1999,5057.4,3906.0,2683.9,1033.4,1590.5,319.1,135.7,290.9,15016.9,3747.0,2863.7,2052.7,766.4,1199.2,236.2,118.7,217.3,11201.2,3731.6,2856.8,2052.3,773.1,1204.0,231.9,117.2,217.7,11188.1
Jan-2000,3581.9,2738.0,2040.3,744.2,1162.7,218.8,102.7,205.6,10794.2,3691.9,2838.6,2071.2,778.7,1197.1,228.0,117.4,219.7,11142.5,3724.5,2833.6,2059.7,772.0,1209.3,229.8,117.9,219.3,11167.4
Feb-2000,3381.7,2524.9,1868.2,692.7,1129.5,214.8,103.0,200.0,10114.8,3721.3,2791.6,2052.5,767.9,1218.4,228.2,117.8,220.5,11118.2,3724.9,2814.4,2066.7,772.8,1215.1,228.2,118.3,221.4,11154.6
Mar-2000,3638.8,2764.8,2000.6,766.0,1202.7,226.6,112.4,218.2,10930.1,3734.6,2795.9,2062.5,773.5,1225.1,225.1,117.7,221.7,11156.1,3735.0,2805.2,2074.6,776.1,1221.0,227.3,118.6,223.8,11163.2
Apr-2000,3538.7,2630.3,1981.8,740.2,1171.3,218.0,112.7,216.9,10609.9,3718.9,2763.5,2105.1,775.1,1228.4,226.5,120.0,226.3,11163.7,3748.6,2806.3,2082.7,781.3,1227.5,227.2,118.8,226.2,11194.1
May-2000,3712.8,2769.4,2021.9,771.6,1205.2,221.4,118.4,232.0,11052.7,3779.4,2848.1,2092.4,793.5,1233.1,228.4,119.1,234.4,11328.4,3761.9,2814.4,2091.9,787.1,1234.1,227.9,119.1,228.3,11244.3
Jun-2000,3928.5,2928.3,2155.5,801.7,1253.4,229.7,125.5,252.7,11675.2,4144.8,3078.2,2231.4,841.2,1318.9,239.0,122.9,265.1,12241.6,3770.8,2825.0,2102.6,792.4,1238.8,229.3,119.3,229.7,11304.0
Jul-2000,3528.6,2584.4,2060.2,730.4,1138.1,216.3,125.6,221.6,10605.2,3639.5,2667.3,2113.8,757.1,1193.3,231.2,118.0,223.1,10943.4,3917.0,2807.3,2156.3,797.1,1243.0,239.8,118.9,238.2,11455.8
Aug-2000,3736.8,2727.3,2148.3,777.0,1207.4,233.6,130.9,229.3,11190.6,3885.2,2819.5,2173.5,800.5,1242.3,241.4,119.5,236.9,11518.8,3913.0,2820.8,2165.0,801.5,1240.1,241.5,118.7,239.1,11506.9
Sep-2000,3991.7,2717.8,2145.3,779.0,1226.2,233.1,123.2,230.9,11447.4,4080.7,2822.6,2166.4,800.3,1265.7,243.6,118.8,238.1,11736.2,3911.1,2840.2,2172.9,805.8,1234.0,243.2,118.4,240.2,11557.1
Oct-2000,3955.3,2857.1,2220.7,804.9,1220.6,241.2,121.2,243.4,11664.4,3946.6,2857.3,2202.6,805.9,1208.4,244.8,117.8,243.8,11627.1,3917.9,2869.1,2183.1,811.0,1226.6,245.0,118.2,241.9,11617.6
Nov-2000,4034.9,3048.3,2264.4,872.5,1273.7,260.4,118.7,255.0,12127.8,3890.3,2905.2,2187.4,825.2,1211.6,247.8,117.4,244.8,11629.7,3938.0,2907.2,2197.3,817.5,1221.3,247.3,118.1,244.3,11698.3
Dec-2000,5266.6,3991.5,2825.7,1106.9,1589.6,329.0,133.7,324.2,15567.3,3951.3,2979.9,2194.0,833.3,1211.6,248.8,118.6,246.1,11783.5,3971.5,2949.6,2216.2,825.7,1219.8,249.8,118.3,247.1,11801.3
Jan-2001,3932.9,2887.5,2222.5,795.3,1190.1,244.4,104.7,234.8,11612.2,4030.1,2972.8,2232.0,823.6,1219.3,250.2,118.2,249.8,11896.0,4012.0,2988.6,2240.2,835.0,1221.7,252.4,118.7,249.6,11918.1
Feb-2001,3569.5,2669.4,1999.9,733.7,1098.9,232.2,100.4,221.1,10625.2,4064.7,3038.4,2285.0,843.9,1236.7,256.4,119.6,251.2,12095.8,4053.0,3022.1,2266.2,845.1,1225.9,254.6,119.4,251.6,12038.0
Mar-2001,3999.0,3010.5,2225.6,851.4,1226.5,259.2,115.0,253.2,11940.5,4095.1,3055.8,2295.2,856.7,1239.2,257.6,120.6,256.2,12176.4,4091.3,3051.9,2290.4,855.7,1231.1,255.9,120.2,253.3,12149.8
Apr-2001,3918.2,2909.4,2156.0,820.5,1172.1,245.5,112.0,243.0,11576.8,4125.5,3065.7,2310.4,867.2,1247.5,258.0,120.7,255.2,12250.2,4119.7,3078.6,2308.2,866.2,1235.9,256.1,120.9,255.1,12240.7
May-2001,4087.5,3020.2,2269.1,868.6,1204.4,251.1,122.2,252.7,12075.8,4144.2,3085.4,2325.1,881.5,1216.0,254.7,121.4,254.4,12282.6,4135.3,3104.2,2317.6,876.1,1240.2,255.5,121.3,257.2,12307.5
Jun-2001,3904.2,2981.8,2231.0,837.5,1179.9,242.4,125.4,247.1,11749.3,4137.0,3147.4,2321.3,882.7,1244.0,254.4,122.4,256.6,12365.7,4141.3,3128.5,2319.2,884.8,1247.2,254.6,121.6,259.6,12356.8
Jul-2001,4016.7,3062.8,2266.2,861.2,1205.1,236.2,129.8,261.0,12038.9,4157.3,3163.4,2319.2,893.5,1264.0,251.4,121.8,265.4,12436.1,4144.6,3150.0,2319.4,891.7,1257.6,253.9,121.9,262.0,12401.1
Aug-2001,4030.0,3101.9,2307.9,875.2,1247.4,247.6,135.3,259.6,12204.9,4140.2,3165.7,2321.3,894.7,1277.5,254.9,123.1,265.5,12442.8,4152.0,3169.2,2324.6,897.4,1271.5,254.1,122.4,264.5,12455.7
Sep-2001,3984.9,3008.3,2259.2,861.5,1216.6,239.4,122.5,256.9,11949.3,4140.7,3180.6,2318.0,903.6,1277.2,254.6,119.5,268.0,12462.2,4168.0,3188.4,2336.9,903.5,1287.6,255.4,123.2,266.8,12529.8
Oct-2001,4242.6,3247.2,2396.2,920.1,1334.5,257.4,131.2,268.7,12797.9,4197.7,3210.8,2346.5,912.7,1307.7,258.6,126.2,266.7,12627.0,4192.2,3208.0,2355.7,910.6,1304.0,257.7,124.4,268.8,12621.3
Nov-2001,4417.4,3387.9,2483.2,979.8,1404.4,275.7,128.9,281.5,13359.0,4211.3,3215.5,2380.2,916.2,1324.2,260.2,127.7,269.3,12704.7,4219.6,3230.2,2378.0,918.9,1318.8,260.4,125.7,270.3,12721.9
Dec-2001,5609.6,4299.2,3092.7,1202.6,1710.5,338.8,138.3,351.8,16743.5,4256.7,3254.0,2436.1,923.3,1322.4,262.0,124.5,271.6,12850.6,4247.2,3256.8,2401.8,928.3,1331.3,263.4,127.2,271.7,12827.6
Jan-2002,4244.3,3241.8,2441.6,921.5,1339.9,268.6,117.3,261.0,12836.0,4318.5,3312.5,2420.3,940.6,1352.1,268.9,130.7,275.4,13018.9,4271.4,3286.8,2425.1,938.0,1342.7,266.8,128.6,273.1,12932.7
Feb-2002,3747.0,2906.0,2119.6,827.5,1197.9,243.9,108.2,242.3,11392.4,4273.9,3297.7,2427.9,950.5,1351.4,269.5,128.9,274.9,12974.7,4290.8,3317.0,2446.8,947.1,1351.7,270.4,130.0,274.5,13028.5
Mar-2002,4153.2,3267.7,2374.9,945.6,1324.1,272.1,122.3,268.5,12728.5,4275.2,3340.7,2465.5,957.2,1356.5,271.6,130.4,272.4,13069.4,4308.1,3345.2,2465.9,954.7,1358.1,273.6,131.2,275.6,13112.4
Apr-2002,4098.6,3202.9,2311.8,909.8,1281.5,262.3,124.8,264.0,12455.8,4321.3,3380.0,2474.4,958.3,1352.8,275.6,133.1,277.0,13172.6,4329.1,3371.4,2483.9,961.1,1361.2,276.0,132.1,276.4,13190.4
May-2002,4362.7,3364.3,2477.2,962.9,1359.7,278.8,134.5,278.1,13217.9,4403.6,3402.0,2537.2,971.0,1373.3,282.4,133.3,279.1,13381.9,4355.1,3392.6,2501.0,966.7,1361.0,277.0,132.7,276.6,13261.2
Jun-2002,4076.9,3215.4,2392.7,910.2,1291.2,262.3,135.4,266.6,12550.6,4333.7,3404.0,2506.7,967.0,1371.6,279.8,133.5,276.1,13272.4,4385.2,3408.1,2517.4,972.0,1358.9,277.0,132.6,276.8,13325.7
Jul-2002,4264.8,3310.6,2478.4,939.1,1288.6,258.8,141.6,261.4,12943.3,4423.0,3418.0,2524.2,971.5,1344.2,272.3,131.1,266.7,13351.1,4417.3,3419.3,2532.9,977.8,1358.1,276.6,132.1,277.2,13388.6
Aug-2002,4376.7,3356.9,2529.4,968.8,1346.3,266.8,144.7,272.1,13261.7,4476.5,3438.2,2536.3,989.1,1363.3,274.5,131.1,276.3,13485.3,4446.5,3428.5,2548.7,983.9,1361.8,276.4,131.4,277.6,13452.5
Sep-2002,4285.1,3251.6,2496.2,938.6,1265.1,255.5,133.8,262.4,12888.3,4471.6,3447.1,2583.1,995.4,1345.2,275.4,131.9,276.0,13525.8,4469.3,3437.8,2566.2,989.4,1370.3,276.7,130.8,278.1,13517.1
Oct-2002,4534.9,3464.4,2656.8,1004.6,1437.2,282.5,135.0,283.5,13798.9,4451.4,3399.6,2564.8,984.9,1386.4,278.2,128.6,280.4,13474.3,4485.6,3450.1,2583.9,993.0,1382.5,277.9,130.8,278.8,13581.8
Nov-2002,4753.7,3655.2,2727.3,1065.8,1489.1,296.1,132.7,298.3,14418.4,4535.3,3494.6,2618.8,1001.2,1409.0,282.0,131.5,284.1,13756.4,4496.7,3464.9,2599.8,994.5,1395.5,279.6,131.2,280.1,13642.2
Dec-2002,5901.4,4586.9,3319.8,1297.1,1826.4,366.8,144.7,358.4,17801.4,4506.0,3488.2,2616.9,999.3,1419.6,283.4,131.3,279.5,13724.1,4504.9,3483.0,2613.8,994.7,1406.5,281.7,131.9,281.7,13698.5
Jan-2003,4452.1,3463.1,2665.7,981.2,1403.0,284.1,120.4,266.9,13636.3,4495.9,3505.2,2640.5,990.6,1416.1,281.5,133.6,279.4,13742.8,4512.8,3502.7,2625.9,995.4,1413.1,283.6,132.5,283.9,13750.1
Feb-2003,3961.9,3101.2,2276.8,865.6,1239.7,256.9,111.9,253.5,12067.5,4520.3,3512.4,2615.3,992.1,1401.7,283.9,133.5,287.4,13746.6,4524.5,3523.4,2639.7,998.0,1416.0,285.5,132.9,286.4,13806.4
Mar-2003,4349.9,3433.7,2496.6,960.6,1359.9,281.7,124.5,282.8,13289.7,4526.6,3544.2,2643.8,995.4,1420.4,289.0,133.8,290.9,13844.2,4539.6,3544.5,2657.1,1002.1,1418.7,287.6,133.0,288.9,13871.5
Apr-2003,4379.0,3398.4,2546.9,974.3,1361.8,282.5,124.7,280.2,13347.9,4588.3,3565.8,2694.9,1010.9,1420.0,291.3,132.3,291.8,13995.3,4559.0,3565.8,2679.8,1005.8,1424.0,290.3,133.0,291.1,13948.8
May-2003,4529.7,3561.2,2653.4,1006.8,1428.7,290.3,134.2,292.9,13897.3,4585.1,3614.8,2719.2,1016.8,1435.4,294.9,133.0,293.3,14092.6,4585.1,3588.8,2708.3,1007.9,1433.2,293.7,133.1,292.8,14042.8
Jun-2003,4334.4,3391.9,2577.4,953.9,1338.6,271.5,133.0,283.4,13284.0,4601.1,3577.0,2724.5,1018.3,1435.1,292.7,132.0,294.5,14075.2,4621.2,3615.9,2743.2,1008.9,1444.2,297.9,133.7,293.4,14158.4
Jul-2003,4504.0,3576.5,2780.5,983.0,1433.7,294.9,147.8,285.1,14005.4,4648.4,3669.7,2789.2,1004.9,1462.9,304.1,135.3,290.1,14304.5,4665.4,3645.7,2782.5,1009.8,1454.4,302.6,134.7,293.1,14288.3
Aug-2003,4526.3,3521.5,2766.1,963.3,1427.1,293.2,149.0,286.7,13933.3,4712.8,3664.0,2806.4,999.8,1475.9,307.7,137.0,293.0,14396.6,4714.4,3678.5,2824.6,1012.7,1463.8,307.5,136.2,292.5,14430.2
Sep-2003,4613.6,3530.1,2824.0,960.5,1407.8,294.8,140.6,284.6,14055.9,4761.0,3713.1,2877.4,1008.4,1471.7,313.7,136.7,296.6,14578.7,4761.3,3713.3,2867.0,1018.7,1473.5,312.4,137.7,292.0,14576.0
Oct-2003,4946.6,3865.1,3026.1,1065.8,1525.2,322.8,146.4,290.6,15188.7,4820.2,3753.7,2910.9,1036.5,1471.1,316.1,139.2,286.3,14734.0,4799.1,3751.8,2906.7,1027.7,1484.3,316.6,139.0,291.7,14716.8
Nov-2003,5062.9,3935.1,3035.2,1091.9,1553.8,331.6,140.8,303.6,15455.0,4872.4,3801.5,2948.7,1047.5,1491.2,321.3,141.7,291.8,14916.0,4822.9,3792.5,2938.7,1038.3,1496.4,319.6,139.7,291.6,14839.7
Dec-2003,6316.2,5016.2,3776.8,1370.2,1953.8,418.1,156.0,377.1,19384.4,4806.6,3809.6,2964.7,1045.6,1505.9,320.5,139.8,293.1,14885.7,4832.9,3830.0,2960.7,1047.9,1509.4,321.4,139.9,291.7,14934.0
Jan-2004,4791.1,3790.2,3018.7,1052.5,1544.1,330.3,126.3,281.5,14934.7,4822.9,3853.3,2985.6,1059.9,1550.7,325.6,139.7,291.9,15029.5,4835.9,3858.5,2976.9,1055.4,1522.6,322.5,140.1,291.9,15003.9
Feb-2004,4353.8,3555.3,2671.9,944.0,1379.2,297.2,121.4,265.7,13588.5,4825.1,3892.7,2990.0,1053.1,1524.8,319.7,141.2,292.2,15038.8,4841.2,3875.1,2992.7,1061.3,1535.8,323.6,140.8,292.2,15062.8
Mar-2004,4678.1,3831.3,2834.9,1042.9,1479.5,319.7,129.9,284.5,14600.9,4863.0,3937.9,2981.0,1068.1,1542.8,324.2,138.6,293.6,15149.2,4853.3,3878.1,3009.9,1066.4,1547.7,324.8,142.1,292.5,15114.6
Apr-2004,4673.5,3720.6,2866.1,1042.1,1513.3,319.8,136.4,280.3,14552.0,4849.8,3851.2,3022.6,1070.7,1559.5,326.9,144.2,291.1,15116.0,4872.4,3873.4,3031.9,1071.7,1559.2,326.1,143.7,292.6,15171.0
May-2004,4772.0,3711.5,2916.8,1032.0,1511.5,309.9,143.9,287.5,14685.1,4908.3,3827.6,3066.3,1076.6,1565.4,326.1,145.7,292.5,15208.3,4894.9,3869.4,3057.7,1077.3,1571.8,327.5,145.4,292.8,15236.8
Jun-2004,4677.0,3690.8,3000.0,1041.9,1513.5,313.9,154.8,287.2,14679.0,4926.4,3869.1,3116.3,1087.6,1590.9,331.9,151.0,293.7,15366.9,4915.2,3872.5,3083.6,1082.1,1585.8,329.0,146.8,293.1,15308.1
Jul-2004,4831.4,3784.3,3095.2,1074.0,1592.8,324.9,160.9,291.4,15154.9,4943.5,3872.6,3075.8,1086.6,1604.5,331.7,146.1,294.3,15355.3,4928.8,3886.1,3103.0,1086.1,1600.2,330.0,147.5,293.4,15375.1
Aug-2004,4679.7,3724.4,3033.0,1024.0,1525.4,306.3,156.7,282.2,14731.7,4909.4,3900.9,3095.3,1080.5,1597.3,325.8,145.8,292.7,15347.6,4935.8,3905.4,3111.4,1089.1,1612.7,330.8,147.5,293.7,15426.5
Sep-2004,4841.5,3809.5,3145.6,1054.9,1595.5,319.5,154.2,283.5,15204.1,4960.5,3959.3,3176.5,1098.5,1642.3,334.6,148.1,294.0,15613.8,4938.6,3922.1,3109.6,1091.3,1621.3,331.7,147.1,294.1,15455.9
Oct-2004,5021.0,4016.3,3175.2,1108.0,1659.4,335.6,152.8,300.8,15769.1,4935.9,3948.9,3082.9,1092.6,1621.6,333.7,147.3,295.7,15458.5,4942.7,3930.0,3103.1,1094.1,1626.0,333.0,147.0,294.4,15470.3
Nov-2004,5144.6,4064.3,3184.0,1142.2,1692.3,342.4,145.8,302.2,16017.9,4942.7,3918.6,3083.1,1094.5,1625.4,331.8,146.8,292.0,15434.9,4948.4,3926.8,3097.8,1096.8,1627.1,334.8,147.3,294.5,15473.7
Dec-2004,6517.2,5230.8,3944.0,1458.2,2155.1,444.8,165.2,382.9,20298.1,4926.4,3928.4,3061.1,1098.3,1636.5,335.3,146.5,296.6,15428.9,4953.1,3919.3,3095.7,1098.4,1626.0,336.7,148.1,294.4,15471.7
Jan-2005,4887.2,3741.3,3068.6,1060.4,1560.0,337.0,130.6,281.6,15066.7,4972.4,3864.2,3107.7,1095.7,1614.3,341.8,147.5,295.4,15439.1,4954.4,3916.4,3096.4,1097.9,1625.7,338.3,148.8,294.2,15472.0
Feb-2005,4377.8,3491.4,2716.1,971.3,1438.3,310.3,128.0,260.3,13693.5,4987.6,3946.8,3124.8,1106.0,1630.1,341.2,152.7,294.3,15583.4,4952.5,3922.8,3099.2,1095.7,1628.3,339.1,149.2,294.1,15480.9
Mar-2005,4825.0,3849.7,3002.2,1092.4,1590.1,342.0,141.4,285.9,15128.9,4974.6,3934.0,3114.6,1105.9,1626.8,339.8,150.5,293.0,15539.1,4950.0,3939.1,3104.9,1093.6,1635.8,339.6,149.2,294.6,15506.8
Apr-2005,4674.5,3778.5,2918.9,1035.4,1583.7,326.6,140.5,284.6,14742.6,4877.8,3932.4,3103.1,1068.2,1645.7,338.3,148.0,293.4,15407.0,4950.9,3960.8,3111.3,1093.4,1648.4,340.3,148.9,296.1,15550.1
May-2005,4765.7,3896.0,2939.7,1043.5,1597.4,322.2,144.5,291.7,15000.6,4942.8,4012.1,3096.8,1090.8,1662.8,340.5,146.8,298.8,15591.3,4956.0,3980.5,3117.9,1095.4,1663.0,341.6,148.6,298.6,15601.5
Jun-2005,4803.5,3877.0,3019.3,1059.6,1626.4,324.5,153.1,296.3,15159.8,5005.6,4019.1,3126.2,1101.3,1688.6,341.3,148.2,302.1,15732.3,4967.5,3992.8,3127.9,1099.0,1677.2,343.9,148.3,301.5,15658.2
Jul-2005,4821.7,3845.0,3142.5,1087.2,1645.7,337.0,160.1,300.1,15339.3,4981.3,3974.2,3152.0,1112.9,1684.0,348.8,147.3,305.1,15705.6,4984.3,3995.1,3142.8,1102.8,1688.6,347.1,148.2,304.4,15713.3
Aug-2005,4806.6,3827.1,3145.8,1068.0,1652.0,337.3,163.4,298.9,15299.0,5009.6,3994.1,3172.6,1111.1,1711.5,352.8,150.1,308.7,15810.5,5003.1,3988.3,3161.9,1105.3,1696.1,350.8,148.3,306.7,15760.4
Sep-2005,4896.1,3857.6,3158.3,1071.7,1657.1,339.9,155.9,299.4,15436.0,5020.9,3992.1,3170.4,1110.2,1696.1,354.5,149.9,309.5,15803.7,5019.3,3978.3,3182.7,1106.1,1701.5,354.4,148.4,308.4,15799.0
Oct-2005,5093.9,3997.0,3278.0,1094.2,1722.7,355.6,152.2,309.1,16002.8,5016.2,3962.2,3209.6,1095.1,1698.7,357.8,147.6,306.1,15793.2,5032.2,3969.3,3203.8,1105.5,1707.0,357.9,148.3,309.5,15833.4
Nov-2005,5277.6,4122.5,3332.3,1155.6,1789.2,374.0,146.2,323.5,16520.8,5068.4,3960.3,3213.0,1100.7,1712.9,359.4,146.6,310.3,15871.5,5045.9,3970.1,3224.1,1105.5,1715.1,361.3,148.2,310.2,15880.4
Dec-2005,6687.5,5256.5,4201.6,1470.2,2286.8,481.0,168.5,402.8,20955.0,5048.3,3970.3,3255.5,1109.9,1728.8,362.7,148.6,310.5,15934.5,5064.8,3986.0,3243.0,1109.0,1726.9,364.3,148.5,310.9,15953.3
Jan-2006,4979.4,3892.5,3202.0,1083.6,1662.7,362.3,132.6,299.6,15614.7,5088.0,4012.1,3255.5,1117.9,1733.6,369.5,150.9,315.7,16043.1,5089.0,4016.8,3260.9,1115.7,1742.0,366.7,149.4,311.4,16051.8
Feb-2006,4496.9,3586.4,2856.8,992.3,1562.3,335.9,126.4,274.1,14231.0,5111.0,4053.7,3292.3,1126.0,1771.3,368.9,150.6,310.2,16183.8,5118.0,4058.9,3277.7,1124.2,1758.9,368.1,151.2,312.0,16168.9
Mar-2006,5003.8,4044.0,3160.2,1117.1,1724.0,373.8,142.6,303.1,15868.7,5150.9,4093.0,3290.8,1124.1,1770.9,371.9,150.7,310.4,16262.6,5150.4,4105.7,3294.7,1133.0,1775.6,368.5,153.6,312.8,16294.4
Apr-2006,4953.0,3990.6,3069.4,1095.6,1711.9,348.7,146.3,303.7,15619.2,5186.6,4192.2,3294.3,1153.2,1791.5,366.7,157.1,315.6,16457.0,5182.0,4148.0,3312.7,1141.0,1790.3,368.3,156.4,313.8,16412.4
May-2006,5036.8,4061.8,3176.9,1113.0,1754.6,349.2,159.9,306.9,15959.0,5209.7,4182.8,3328.9,1149.8,1810.5,363.9,160.9,313.2,16519.7,5209.8,4181.4,3331.8,1148.2,1803.9,368.2,159.0,315.3,16517.5
Jun-2006,5044.5,4093.4,3263.4,1115.3,1756.5,351.3,167.2,314.9,16106.6,5250.3,4214.6,3364.4,1150.4,1816.0,368.5,161.7,319.6,16645.5,5232.3,4206.2,3351.5,1156.0,1817.5,368.6,161.2,317.5,16610.7
Jul-2006,5081.7,4033.6,3349.0,1121.3,1784.0,356.1,177.7,311.2,16214.5,5254.3,4202.6,3373.8,1160.0,1831.4,371.1,163.6,319.8,16676.6,5249.5,4224.4,3369.7,1164.1,1832.1,369.5,162.9,320.4,16692.6
