,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
Unit,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,000,000,000,000,000,000,000,000,000,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,000,000,000,000,000,000
Series Type,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Original,Original,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Original,Original,Original,Original,Original,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Original,Original,Original,Original,Original,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Original,Original,Original,Original,Original,Original
Data Type,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
Collection Month,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Series Start,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978
Series End,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022
No. Obs,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537
Series ID,A84423993J,A84423321T,A84423657W,A84423881R,A84423209T,A84423545C,A84424105T,A84423433K,A84423769R,A84424001X,A84423329K,A84423665W,A84423889J,A84423217T,A84423553C,A84424113T,A84423441K,A84423777R,A84423666X,A84423554F,A84423778T,A84424000W,A84423328J,A84423664V,A84423888F,A84423216R,A84423552A,A84424112R,A84423440J,A84423776L,A84423994K,A84423322V,A84423658X,A84423882T,A84423210A,A84423546F,A84424106V,A84423434L,A84423770X,A84423667A,A84423555J,A84423779V,A84423668C,A84423556K,A84423780C,A84423998V,A84423326C,A84423662R,A84423886A,A84423214K,A84423550W,A84424110K,A84423438W,A84423774J,A84423669F,A84423557L,A84423781F,A84423670R,A84423558R,A84423782J,A84423995L,A84423323W,A84423659A,A84423883V,A84423211C,A84423547J,A84424107W,A84423435R,A84423771A,A84423999W,A84423327F,A84423663T,A84423887C,A84423215L,A84423551X,A84424111L,A84423439X,A84423775K,A84423660K,A84423548K,A84423772C,A84423661L,A84423549L,A84423773F
Feb-1978,529.8,524.1,522.9,341.8,342.5,344.8,188.0,181.6,178.1,435.4,435.0,439.3,323.6,324.5,328.9,111.8,110.5,110.5,83.5,16.0,67.6,59.9,59.3,59.1,76.7,76.9,77.4,42.8,41.4,40.6,35.0,37.5,43.0,17.9,18.6,21.1,17.1,18.9,21.9,33.9,20.1,13.8,9.1,0.9,8.2,6.2,6.7,7.6,5.0,5.1,5.8,8.3,9.4,11.0,7.2,5.8,11.1,9.8,5.5,10.8,564.8,561.6,565.9,359.7,361.1,365.9,205.1,200.6,200.0,63.9,63.5,64.0,80.8,81.1,82.2,46.7,45.7,45.6,318.3,79.4,238.9,884.2,445.3,438.9
Mar-1978,529.5,529.4,530.7,341.4,341.4,344.1,188.1,188.0,186.6,435.8,436.3,437.4,323.7,322.9,326.3,112.1,113.4,111.1,93.3,17.7,75.5,59.8,59.7,59.9,76.5,76.5,77.1,42.8,42.7,42.4,35.3,33.3,34.7,18.1,18.0,17.7,17.2,15.3,16.9,28.0,16.3,11.7,6.6,1.4,5.3,6.2,5.9,6.1,5.0,5.0,4.9,8.4,7.5,8.3,6.0,4.8,9.5,6.6,7.2,6.5,564.8,562.7,565.4,359.5,359.4,361.8,205.3,203.3,203.6,63.7,63.5,63.8,80.6,80.5,81.0,46.7,46.2,46.3,321.3,84.7,236.6,886.7,446.5,440.2
Apr-1978,529.1,528.3,531.7,341.0,340.6,343.5,188.1,187.7,188.2,436.3,435.6,438.1,323.8,323.3,325.8,112.5,112.3,112.4,93.6,17.7,75.9,59.6,59.5,59.9,76.3,76.2,76.8,42.7,42.6,42.7,35.6,35.2,34.2,18.4,18.6,17.5,17.2,16.7,16.7,27.7,16.3,11.4,6.5,1.2,5.3,6.3,6.3,6.0,5.1,5.2,4.8,8.4,8.2,8.2,5.9,4.8,9.2,6.5,6.3,6.5,564.7,563.6,565.9,359.5,359.2,360.9,205.3,204.4,204.9,63.6,63.5,63.7,80.4,80.3,80.7,46.6,46.4,46.5,322.2,86.2,235.9,888.0,447.1,440.9
May-1978,528.6,528.9,532.5,340.7,340.6,342.6,187.9,188.2,189.9,436.7,435.4,436.5,324.0,323.7,324.6,112.7,111.7,111.9,96.0,18.0,78.1,59.4,59.5,59.9,76.1,76.1,76.5,42.5,42.6,43.0,36.0,35.6,33.3,18.8,18.1,16.5,17.2,17.5,16.7,27.3,15.4,11.9,6.0,1.1,4.8,6.4,6.3,5.9,5.2,5.0,4.6,8.4,8.5,8.1,5.9,4.5,9.6,5.8,5.9,5.8,564.6,564.5,565.8,359.5,358.7,359.1,205.1,205.8,206.7,63.5,63.5,63.6,80.3,80.1,80.2,46.4,46.6,46.8,323.8,88.7,235.0,889.6,447.9,441.7
Jun-1978,528.0,530.7,532.2,340.5,342.6,341.8,187.4,188.1,190.5,437.0,440.2,438.8,324.1,325.4,324.2,112.9,114.8,114.6,93.5,17.6,75.9,59.2,59.5,59.7,75.9,76.3,76.2,42.3,42.5,43.0,36.5,35.2,33.8,19.3,17.8,16.9,17.2,17.5,16.9,28.3,16.1,12.1,5.5,0.7,4.8,6.5,6.2,6.0,5.4,4.9,4.7,8.4,8.5,8.2,6.1,4.7,9.6,5.6,3.9,6.0,564.4,566.0,566.0,359.8,360.4,358.6,204.6,205.6,207.4,63.3,63.5,63.5,80.2,80.3,79.9,46.2,46.5,46.9,325.4,90.1,235.2,891.4,448.8,442.6
Jul-1978,527.0,526.4,525.3,340.4,338.2,336.3,186.7,188.2,189.0,437.2,432.4,430.9,324.1,320.6,318.5,113.0,111.8,112.4,94.4,17.7,76.6,59.0,58.9,58.8,75.7,75.2,74.8,42.1,42.4,42.6,37.0,37.7,37.1,19.9,20.7,21.5,17.1,17.0,15.6,31.7,19.9,11.8,5.4,1.5,3.9,6.6,6.7,6.6,5.5,5.8,6.0,8.4,8.3,7.6,6.9,5.9,9.5,5.4,8.0,4.8,564.0,564.1,562.4,360.3,358.9,357.7,203.7,205.2,204.7,63.1,63.2,63.0,80.1,79.8,79.6,45.9,46.3,46.1,330.6,91.8,238.8,893.0,449.5,443.5
Aug-1978,525.9,525.7,519.2,340.2,340.8,335.1,185.6,184.9,184.1,436.8,437.2,429.2,324.0,323.8,318.2,112.9,113.3,111.0,90.0,16.9,73.2,58.8,58.7,58.0,75.5,75.7,74.4,41.8,41.6,41.4,37.5,37.8,37.7,20.5,20.6,21.2,17.0,17.2,16.5,32.6,20.2,12.5,5.1,1.1,4.0,6.7,6.7,6.8,5.7,5.7,6.0,8.4,8.5,8.2,7.1,6.0,10.1,5.4,5.9,5.2,563.3,563.5,556.9,360.7,361.4,356.3,202.6,202.1,200.6,62.9,63.0,62.2,80.1,80.2,79.1,45.6,45.5,45.1,338.0,94.1,243.9,894.9,450.4,444.5
Sep-1978,524.7,523.7,522.6,340.0,340.6,339.1,184.6,183.1,183.5,436.1,436.7,434.6,323.6,324.0,321.4,112.5,112.6,113.2,88.0,17.6,70.4,58.5,58.4,58.3,75.4,75.5,75.1,41.4,41.1,41.2,38.0,37.5,35.4,21.0,20.8,20.2,17.0,16.7,15.2,30.8,19.1,11.7,4.6,1.1,3.5,6.7,6.7,6.3,5.8,5.8,5.6,8.4,8.4,7.6,6.6,5.6,9.4,5.0,5.9,4.7,562.7,561.2,557.9,361.0,361.4,359.2,201.6,199.8,198.7,62.7,62.6,62.2,80.0,80.1,79.6,45.3,44.8,44.6,339.0,92.2,246.9,897.0,451.4,445.6
Oct-1978,523.8,527.5,526.5,339.8,340.2,337.7,184.0,187.4,188.8,435.3,435.9,432.9,323.3,323.7,320.7,112.0,112.2,112.2,93.6,17.0,76.6,58.3,58.7,58.6,75.2,75.2,74.7,41.2,42.0,42.3,38.4,38.0,35.6,21.3,21.6,20.3,17.1,16.4,15.3,29.5,19.0,10.5,6.1,1.3,4.8,6.8,6.7,6.3,5.9,6.0,5.7,8.5,8.0,7.5,6.4,5.6,8.6,6.1,7.1,5.9,562.2,565.5,562.1,361.2,361.8,358.0,201.1,203.7,204.1,62.6,62.9,62.6,79.9,80.0,79.2,45.0,45.6,45.7,336.4,94.1,242.3,898.5,452.1,446.4
Nov-1978,523.6,522.0,521.2,339.7,338.5,336.5,183.9,183.5,184.8,434.8,434.1,431.7,323.3,321.8,319.1,111.5,112.3,112.6,89.6,17.4,72.2,58.2,58.0,57.9,75.0,74.7,74.3,41.1,41.0,41.3,38.9,39.4,35.4,21.5,21.5,19.5,17.4,17.9,16.0,29.9,18.6,11.3,5.6,0.9,4.7,6.9,7.0,6.4,6.0,6.0,5.5,8.6,8.9,7.9,6.5,5.5,9.1,5.9,5.1,6.1,562.5,561.4,556.7,361.2,360.0,356.0,201.3,201.4,200.7,62.5,62.4,61.8,79.7,79.5,78.6,45.0,45.0,44.9,343.5,96.9,246.6,900.2,452.8,447.3
Dec-1978,524.0,524.4,531.9,339.8,340.3,345.7,184.3,184.1,186.2,435.1,434.2,441.1,323.8,324.3,329.5,111.3,109.9,111.6,90.8,16.2,74.6,58.1,58.1,59.0,74.9,75.0,76.2,41.1,41.1,41.5,39.4,38.8,42.7,21.6,21.3,22.1,17.8,17.5,20.6,35.7,21.1,14.6,7.0,1.0,6.0,7.0,6.9,7.4,6.0,5.9,6.0,8.8,8.7,9.9,7.5,6.0,11.6,7.1,5.9,7.4,563.5,563.2,574.6,361.4,361.6,367.8,202.1,201.6,206.8,62.5,62.4,63.7,79.6,79.7,81.1,45.1,45.0,46.1,327.5,85.9,241.6,902.1,453.8,448.4
Jan-1979,525.2,520.5,517.2,340.2,339.3,340.6,185.0,181.2,176.6,436.0,432.7,436.7,324.6,322.6,325.3,111.3,110.1,111.4,80.5,15.2,65.2,58.1,57.6,57.2,74.8,74.6,74.9,41.2,40.3,39.3,40.1,40.3,45.1,21.7,21.9,25.4,18.3,18.4,19.8,38.9,23.6,15.3,6.2,1.8,4.5,7.1,7.2,8.0,6.0,6.1,6.9,9.0,9.2,10.1,8.2,6.8,12.1,7.2,10.4,6.4,565.3,560.8,562.3,362.0,361.3,366.0,203.3,199.6,196.4,62.5,62.0,62.2,79.6,79.5,80.5,45.2,44.4,43.7,341.6,88.7,252.9,904.0,454.7,449.3
Feb-1979,526.8,531.2,529.8,341.0,340.8,343.1,185.8,190.4,186.7,437.3,439.0,443.2,325.6,325.5,329.8,111.6,113.5,113.4,86.6,13.4,73.3,58.1,58.6,58.5,74.8,74.8,75.3,41.3,42.3,41.5,40.7,41.5,47.2,21.9,22.3,25.1,18.9,19.2,22.1,39.8,23.8,16.0,7.4,1.2,6.2,7.2,7.3,8.2,6.0,6.1,6.8,9.2,9.2,10.6,8.2,6.7,12.3,7.9,8.4,7.8,567.5,572.7,577.1,362.9,363.1,368.2,204.7,209.6,208.9,62.6,63.2,63.7,79.6,79.7,80.8,45.4,46.5,46.4,329.0,87.5,241.5,906.0,455.7,450.3
Mar-1979,528.4,533.0,534.5,341.9,346.0,348.7,186.5,187.0,185.8,438.7,439.2,440.5,326.5,327.8,331.3,112.1,111.4,109.2,94.0,17.4,76.6,58.2,58.7,58.8,74.9,75.7,76.3,41.3,41.4,41.2,41.4,39.7,41.5,22.0,20.9,20.7,19.3,18.8,20.8,34.7,20.0,14.7,6.8,0.7,6.1,7.3,6.9,7.2,6.1,5.7,5.6,9.4,9.1,10.1,7.3,5.7,11.9,6.8,3.8,7.4,569.8,572.7,576.0,364.0,366.9,369.3,205.8,205.8,206.7,62.8,63.0,63.4,79.7,80.3,80.8,45.6,45.6,45.8,332.3,87.5,244.8,908.3,456.8,451.5
Apr-1979,529.9,530.0,533.4,342.8,343.1,346.0,187.1,186.9,187.5,439.8,441.6,443.9,327.2,327.9,330.3,112.6,113.6,113.6,89.5,15.7,73.9,58.2,58.2,58.6,74.9,75.0,75.6,41.4,41.3,41.4,41.9,43.5,42.2,22.2,22.8,21.5,19.7,20.7,20.8,35.4,20.3,15.2,6.8,1.2,5.6,7.3,7.6,7.3,6.1,6.2,5.8,9.5,10.0,10.0,7.4,5.8,11.8,7.1,7.0,7.1,571.8,573.5,575.7,365.0,365.9,367.4,206.8,207.6,208.2,62.8,63.0,63.3,79.7,80.0,80.3,45.7,45.9,46.0,334.3,90.1,244.1,909.9,457.6,452.3
May-1979,531.3,532.4,536.0,343.6,344.4,346.3,187.8,188.0,189.7,440.6,440.4,441.7,327.6,327.8,328.8,113.0,112.6,112.9,94.3,17.6,76.7,58.3,58.4,58.8,74.9,75.1,75.5,41.4,41.5,41.8,42.3,41.9,39.2,22.2,22.4,20.5,20.0,19.5,18.6,33.6,19.6,14.0,5.6,0.9,4.7,7.4,7.3,6.8,6.1,6.1,5.6,9.6,9.4,8.9,7.1,5.6,11.0,5.6,5.0,5.7,573.6,574.4,575.2,365.8,366.8,366.9,207.8,207.6,208.3,62.9,63.0,63.1,79.8,80.0,80.0,45.8,45.8,45.9,336.6,91.6,245.0,911.8,458.5,453.3
Jun-1979,532.6,532.9,534.3,344.2,343.7,342.9,188.5,189.2,191.4,441.0,439.7,438.3,327.8,326.3,325.2,113.2,113.4,113.1,96.0,17.7,78.3,58.3,58.3,58.4,74.9,74.7,74.5,41.5,41.7,42.1,42.6,39.4,37.8,22.2,22.4,21.4,20.3,17.0,16.4,32.0,19.9,12.1,5.8,1.5,4.3,7.4,6.9,6.6,6.1,6.1,5.9,9.7,8.2,7.9,6.8,5.8,9.7,5.7,7.6,5.3,575.2,572.3,572.1,366.4,366.1,364.2,208.8,206.2,207.9,62.9,62.6,62.6,79.7,79.6,79.2,46.0,45.4,45.7,342.3,95.8,246.5,914.4,460.0,454.3
Jul-1979,533.9,528.3,527.1,344.5,340.8,338.9,189.4,187.4,188.2,441.2,433.2,431.8,327.8,324.3,322.2,113.4,109.0,109.6,95.3,16.7,78.6,58.3,57.7,57.6,74.8,74.0,73.6,41.6,41.2,41.4,42.8,43.3,42.4,22.2,22.4,23.2,20.6,20.9,19.2,35.9,21.4,14.5,6.5,1.7,4.7,7.4,7.6,7.4,6.1,6.2,6.4,9.8,10.0,9.3,7.7,6.2,11.7,6.4,9.4,5.7,576.8,571.5,569.5,366.8,363.2,362.0,210.0,208.4,207.5,63.0,62.4,62.2,79.7,78.9,78.6,46.1,45.8,45.6,346.2,98.5,247.7,915.7,460.6,455.1
Aug-1979,535.3,537.1,530.2,344.7,347.0,341.1,190.5,190.1,189.1,441.4,442.6,434.4,327.7,329.6,323.8,113.6,113.0,110.7,95.7,17.3,78.4,58.4,58.6,57.8,74.8,75.2,74.0,41.8,41.7,41.5,43.1,42.3,41.9,22.2,21.6,22.1,20.8,20.7,19.8,35.5,20.6,14.9,6.4,1.6,4.9,7.5,7.3,7.3,6.1,5.9,6.1,9.9,9.8,9.5,7.6,6.0,11.9,6.3,8.3,5.9,578.3,579.4,572.1,367.0,368.5,363.3,211.3,210.8,208.9,63.1,63.2,62.4,79.6,79.9,78.8,46.3,46.2,45.8,345.1,98.0,247.1,917.2,461.2,456.0
Sep-1979,536.7,539.9,542.5,344.9,345.4,345.5,191.8,194.5,196.9,441.6,444.4,444.8,327.6,328.0,327.2,114.0,116.4,117.6,97.7,18.4,79.3,58.4,58.7,59.0,74.7,74.8,74.8,42.0,42.6,43.1,43.3,42.0,40.5,22.3,21.8,21.3,20.9,20.2,19.2,33.6,19.7,13.9,6.9,1.5,5.3,7.5,7.2,6.9,6.1,5.9,5.8,9.8,9.4,8.9,7.0,5.7,10.5,6.6,7.7,6.3,580.0,581.9,582.9,367.2,367.2,366.8,212.8,214.7,216.1,63.1,63.3,63.4,79.5,79.5,79.4,46.6,47.0,47.3,336.1,95.2,240.9,919.0,462.0,457.0
Oct-1979,538.2,537.9,537.1,344.9,345.2,342.9,193.3,192.7,194.2,441.8,442.3,439.4,327.3,327.3,324.5,114.5,115.0,115.0,97.7,18.4,79.2,58.5,58.4,58.4,74.6,74.6,74.1,42.2,42.1,42.4,43.4,45.9,42.9,22.5,23.8,22.3,20.8,22.1,20.6,34.1,20.4,13.7,8.8,1.8,6.9,7.5,7.9,7.4,6.1,6.5,6.1,9.7,10.3,9.6,7.2,5.9,10.6,8.2,9.0,8.0,581.6,583.9,580.0,367.5,369.0,365.2,214.1,214.8,214.8,63.2,63.4,63.0,79.4,79.8,79.0,46.8,46.9,46.9,340.4,97.3,243.0,920.4,462.5,457.9
Nov-1979,539.6,538.6,538.1,345.1,344.7,343.0,194.5,193.9,195.1,442.0,441.1,438.9,327.1,327.4,324.9,115.0,113.7,114.0,99.2,18.0,81.2,58.5,58.4,58.4,74.5,74.4,74.1,42.4,42.3,42.5,43.2,42.2,38.1,22.7,22.0,20.0,20.5,20.3,18.1,31.8,18.5,13.4,6.2,1.5,4.7,7.4,7.3,6.6,6.2,6.0,5.5,9.5,9.5,8.5,6.8,5.4,10.5,5.9,7.8,5.5,582.9,580.8,576.2,367.8,366.7,363.0,215.1,214.1,213.2,63.2,63.0,62.5,79.4,79.2,78.4,46.9,46.7,46.5,345.8,100.2,245.6,921.9,463.1,458.8
Dec-1979,540.9,541.1,548.9,345.5,345.6,351.1,195.5,195.6,197.8,442.5,442.0,449.2,327.1,326.4,331.7,115.5,115.6,117.5,99.7,19.4,80.3,58.6,58.6,59.4,74.5,74.5,75.7,42.5,42.5,43.0,42.7,46.2,50.5,22.8,25.7,26.7,20.0,20.4,23.8,41.4,23.5,17.9,9.1,3.3,5.9,7.3,7.9,8.4,6.2,6.9,7.1,9.3,9.5,10.7,8.4,6.6,13.2,8.4,14.4,6.8,583.7,587.3,599.4,368.2,371.3,377.8,215.4,216.0,221.6,63.2,63.6,64.9,79.4,80.0,81.4,46.9,47.0,48.2,324.4,86.1,238.3,923.8,463.9,459.9
Jan-1980,542.2,543.1,539.1,346.1,345.4,346.5,196.0,197.8,192.6,443.3,443.3,447.0,327.5,327.1,329.7,115.8,116.2,117.3,92.1,16.8,75.3,58.6,58.7,58.3,74.5,74.4,74.6,42.6,42.9,41.8,41.9,41.5,46.3,22.6,22.9,26.3,19.3,18.6,20.0,39.9,24.4,15.5,6.4,1.9,4.5,7.2,7.1,7.9,6.1,6.2,7.1,9.0,8.6,9.4,8.2,6.9,11.7,6.5,10.1,5.7,584.1,584.6,585.4,368.7,368.2,372.8,215.4,216.4,212.6,63.1,63.2,63.3,79.4,79.3,80.3,46.7,47.0,46.2,339.7,91.7,248.0,925.2,464.5,460.7
Feb-1980,543.6,543.6,542.0,347.2,347.0,349.1,196.4,196.6,192.9,444.3,444.4,448.3,328.4,327.9,331.8,115.9,116.5,116.5,93.7,17.2,76.5,58.6,58.7,58.5,74.6,74.6,75.0,42.5,42.6,41.8,40.8,41.5,47.0,22.1,22.8,25.4,18.7,18.8,21.6,39.6,24.2,15.4,7.4,1.3,6.2,7.0,7.1,8.0,6.0,6.2,6.8,8.7,8.7,10.0,8.1,6.8,11.7,7.3,6.8,7.5,584.4,585.1,589.0,369.3,369.7,374.5,215.1,215.4,214.5,63.0,63.1,63.6,79.4,79.5,80.5,46.6,46.7,46.5,337.8,90.7,247.0,926.8,465.2,461.6
Mar-1980,545.5,548.4,550.2,348.6,352.6,355.1,196.9,195.9,195.1,445.6,449.4,450.6,329.8,333.3,336.6,115.8,116.1,113.9,99.6,18.5,81.1,58.7,59.1,59.2,74.8,75.7,76.2,42.6,42.3,42.2,39.7,37.8,39.7,21.6,19.6,19.5,18.1,18.2,20.2,33.6,18.5,15.0,6.1,1.0,5.2,6.8,6.4,6.7,5.8,5.3,5.2,8.4,8.5,9.4,6.9,5.2,11.7,5.8,4.9,6.0,585.2,586.2,589.9,370.2,372.1,374.6,215.0,214.0,215.3,63.0,63.1,63.5,79.4,79.9,80.4,46.5,46.3,46.5,338.7,91.4,247.3,928.6,466.0,462.6
